,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Nikolskoye,0,RU,1553329750,64,59.7,30.79,37.99,8.95
1,Alyangula,80,AU,1553328000,70,-13.85,136.42,87.8,10.29
2,Grand Gaube,75,MU,1553329740,70,-20.01,57.66,87.8,11.41
3,Huilong,56,CN,1553329772,78,28.89,110.18,51.16,4.38
4,Abha,20,SA,1553328000,40,18.22,42.5,75.2,9.17
5,Crixas,88,BR,1553329772,95,-14.55,-49.97,71.41,4.16
6,Isla Mujeres,20,MX,1553329384,100,21.23,-86.73,59.0,6.4
7,Busselton,0,AU,1553329554,23,-33.64,115.35,72.0,18.25
8,Yelizovo,90,RU,1553328000,92,53.19,158.38,30.2,15.66
9,Mar del Plata,24,AR,1553329773,67,-46.43,-67.52,56.65,19.93
10,Arraial do Cabo,92,BR,1553329774,89,-22.97,-42.02,77.89,5.95
11,Rikitea,88,PF,1553329774,99,-23.12,-134.97,78.88,20.49
12,Kruisfontein,0,ZA,1553329774,80,-34.0,24.73,72.49,7.63
13,Mattru,76,SL,1553329774,75,7.62,-11.83,80.05,4.38
14,New Norfolk,75,AU,1553329515,68,-42.78,147.06,68.0,4.7
15,Vengerovo,44,RU,1553329775,100,55.68,76.74,35.23,4.61
16,Codrington,90,AU,1553329638,65,-28.95,153.24,80.6,17.22
17,Barrow,0,AR,1553329776,87,-38.31,-60.23,57.73,13.67
18,Les Cayes,44,HT,1553329776,100,18.19,-73.75,75.55,7.29
19,Sur,36,OM,1553329777,74,22.57,59.53,79.96,11.21
20,Jamestown,100,AU,1553329762,65,-33.21,138.6,69.43,9.98
21,Ushuaia,90,AR,1553328000,93,-54.81,-68.31,46.4,5.82
22,Esperance,75,TT,1553329506,83,10.24,-61.45,78.01,6.93
23,Hilo,90,US,1553329754,78,19.71,-155.08,73.99,4.7
24,Great Falls,1,US,1553328999,86,47.5,-111.29,41.0,8.05
25,Mataura,44,NZ,1553329206,79,-46.19,168.86,64.0,3.27
26,Prince Rupert,90,CA,1553328000,81,54.32,-130.32,48.2,17.22
27,Namibe,90,AO,1553324400,94,-15.19,12.15,71.6,5.82
28,Nacala,75,MZ,1553328000,94,-14.56,40.69,78.8,5.82
29,Ancud,75,CL,1553324400,93,-41.87,-73.83,53.6,5.82
30,Albany,90,US,1553329453,86,42.65,-73.75,30.0,12.75
31,Eyl,64,SO,1553329781,87,7.98,49.82,82.21,11.99
32,Ponta Delgada,75,PT,1553329193,82,37.73,-25.67,60.8,12.75
33,Hermanus,36,ZA,1553328955,74,-34.42,19.24,77.0,11.01
34,Dwarka,20,IN,1553326200,28,28.58,77.04,84.2,9.17
35,Belyy Yar,0,RU,1553326200,7,53.6,91.39,55.4,4.47
36,Rokytne,0,UA,1553329782,68,51.27,27.23,41.26,10.42
37,Grindavik,75,IS,1553328997,100,63.84,-22.43,32.0,9.17
38,Antofagasta,0,CL,1553324400,77,-23.65,-70.4,60.8,2.24
39,Flin Flon,0,CA,1553329783,77,54.77,-101.88,25.51,3.83
40,Talnakh,0,RU,1553329784,77,69.49,88.39,6.79,4.94
41,Port Alfred,44,ZA,1553329573,84,-33.59,26.89,75.99,5.01
42,Butaritari,76,KI,1553329784,100,3.07,172.79,83.47,14.23
43,Souillac,0,FR,1553329629,70,45.6,-0.6,50.0,2.24
44,Ikwiriri,0,TZ,1553329785,50,-7.96,38.99,93.91,4.27
45,Vaini,0,IN,1553328000,17,15.34,74.49,95.0,4.7
46,Airai,32,TL,1553329785,63,-8.93,125.41,80.41,1.7
47,Nishihara,75,JP,1553329736,70,35.74,139.53,48.99,3.36
48,Cape Town,0,ZA,1553329370,60,-33.93,18.42,77.0,6.93
49,Mabaruma,88,GY,1553329278,89,8.2,-59.78,77.08,6.4
50,Suluq,80,LY,1553329787,63,31.67,20.25,63.94,5.17
51,Narsaq,0,GL,1553327400,56,60.91,-46.05,15.8,16.11
52,Yenagoa,88,NG,1553329787,89,4.92,6.26,81.13,9.08
53,Georgetown,20,GY,1553328000,94,6.8,-58.16,71.6,2.24
54,Cherskiy,0,RU,1553329788,30,68.75,161.3,-6.9,2.71
55,Punta Arenas,75,CL,1553329390,87,-53.16,-70.91,48.2,10.29
56,Atuona,76,PF,1553329789,98,-9.8,-139.03,82.57,15.68
57,Manokwari,44,ID,1553329377,100,-0.87,134.08,78.97,8.86
58,Dong Hoi,68,VN,1553329790,99,17.48,106.6,77.98,6.17
59,Longyearbyen,75,NO,1553327400,85,78.22,15.63,21.2,6.93
60,Hamilton,40,BM,1553329519,63,32.3,-64.78,66.2,19.46
61,Magnor,0,SE,1553329527,70,59.95,12.2,44.6,10.29
62,Avarua,36,CK,1553328000,88,-21.21,-159.78,80.6,3.36
63,Ilulissat,20,GL,1553327400,52,69.22,-51.1,-9.41,14.99
64,Chulym,68,RU,1553329792,100,55.09,80.97,33.07,4.61
65,Port Blair,20,IN,1553328000,55,11.67,92.75,89.6,10.29
66,Ardesen,75,TR,1553326200,76,41.19,40.99,48.2,3.36
67,Huarmey,56,PE,1553329214,87,-10.07,-78.15,63.4,3.15
68,Upernavik,24,GL,1553329793,100,72.79,-56.15,-11.31,2.59
69,Leningradskiy,64,RU,1553329793,70,69.38,178.42,-10.05,14.0
70,Bafq,0,IR,1553329794,26,31.6,55.4,69.34,4.05
71,Takapau,0,NZ,1553329696,82,-40.02,176.35,59.0,7.74
72,Ocos,5,GT,1553328240,83,14.51,-92.19,73.4,5.39
73,Kamyshlov,0,RU,1553329795,98,56.85,62.71,38.29,6.17
74,Kaoma,0,ZM,1553329795,52,-14.8,24.8,82.75,16.8
75,Marzuq,0,YE,1553329356,16,14.4,46.47,87.61,5.17
76,Touros,40,BR,1553328000,100,-5.2,-35.46,77.0,4.7
77,Hofn,0,IS,1553329796,100,64.25,-15.21,35.68,19.37
78,Plettenberg Bay,0,ZA,1553329796,90,-34.05,23.37,70.6,7.18
79,Lavrentiya,92,RU,1553329797,99,65.58,-170.99,14.26,10.42
80,Colares,0,PT,1553329760,41,38.8,-9.45,57.99,6.93
